id,english,hindi
644,I have a date with Tom tonight.,मेरी आज रात टॉम के साथ डेट है।
645,I have a date with her tonight.,मेरी उसके साथ आज रात डेट है।
646,Sean Connery is a Scottish actor.,शॉन कॉनरी एक स्काटिश अभिनेता हैं।
647,I don't have time to talk.,मुझे बात करने के लिये वक़्त नहीं है।
648,I want a parrot.,मुझे एक तोता चाहिए।
649,This parrot has green feathers.,इस तोते के हरे पर हैं।
650,Why is life so difficult?,ज़िंदगी इतनी मुश्किल क्यों होती है?
651,Why is love so difficult?,प्यार इतना मुश्किल क्यों होता है?
652,Chiqui is a good parrot.,चिकी अच्छा तोता है।
653,Chiqui is a parrot that speaks Esperanto.,चिकी एक ऐसा तोता है जो एस्पेरांतो में बात करता है।
654,I started it.,मैंने शुरू किया।
655,I'm with him.,मैं उसके साथ हूँ।
656,It could be heroin.,हेरोइन हो सकता है।
657,There can never be peace without justice.,बिना न्याय के शांति नहीं हो सकती है।
658,It's not good.,अच्छा नहीं है।
659,The place is empty.,वह जगह खाली है।
660,Change is never easy.,बदलाव कभी आसान नहीं होता।
661,Tom set down his beer.,टॉम ने अपनी बीयर नीचे रख दी।
662,My name is on the door.,दरवाजे पर मेरा नाम है।
663,Tom never got caught.,टॉम कभी पकड़ा नहीं गया।
664,It could be cancer.,कैंसर हो सकता है।
665,Call me when you can.,हो सके तब कॉल करना।
666,Tom couldn't breathe.,टॉम साँस नहीं ले पा रहा था।
667,Tom is trying his best.,टॉम अपनी पूरी कोशिश कर रहा है।
668,How could that be?,ऐसे कैसे हो सकता है?
669,What else would it be?,और क्या हो सकता है?
670,Tom is very artistic.,टॉम बहुत कलात्मक है।
671,Tom seems artistic.,टॉम कलात्मक लगता है।
672,Tom is quite artistic.,टॉम काफी कलात्मक है।
673,Tom isn't artistic.,टॉम कलात्मक नहीं है।
674,Is it morning already?,सुबह हो भी गयी?
675,Tom took Mary along.,टॉम मैरी को साथ ले गया।
676,"Tom is nice, isn't he?","टॉम अच्छा है, है ना?"
677,"Tom is happy, isn't he?","टॉम खुश है, है ना?"
678,"Tom is here, isn't he?","टॉम यहाँ है, है ना?"
679,Tom tried to stop me.,टॉम ने मुझे रोकने की कोशिश की।
680,This is easy for me.,यह मेरे लिये आसान नहीं है।
681,Tom was looking at me.,टॉम मुझे देख रहा था।
682,Tom lives above me.,टॉम मेरे उपर रहता है।
683,Did Tom ask about me?,क्या टॉम ने मेरे बारे में पूँछा?
684,What could it mean?,इसका क्या मतलब हो सकता है?
685,The mistake was mine.,गलती मेरी थी।
686,My purse has been stolen.,मेरा पर्स चोरी हो गया है.
687,The decision is mine.,निर्णय मेरा था।
688,This fight is mine.,यह लड़ाई मेरी है।
689,This gold is mine.,यह सोना मेरा है।
690,Nothing here is mine.,यहाँ का कुछ भी मेरा नहीं है।
691,This money is mine.,यह पैसा मेरा है।
692,This is a gold mine.,यह सोने की खान है।
693,Tom tried to move.,टॉम ने हिलने की कोशिश की।
694,They left last night.,वे पिछली रात चले गये।
695,It was a cold night.,ठंडी रात थी।
696,Tom works at night.,टॉम रात को काम करता है।
697,Tom works all night.,टॉम पूरी रात काम करता है।
698,My answer is still no.,"मेरा जवाब अभी भी ""नहीं"" है।"
699,Tom is going to say no.,"टॉम ""नहीं"" कहने वाला है।"
700,Where's Tom right now?,टॉम इस वक़्त कहाँ है?
701,Tom is resting now.,टॉम अभी आराम कर रहा है।
702,It's all OK now.,अभी सब ठीक है।
703,Why are you here now?,तुम अभी इस वक़्त यहाँ क्यों हो?
704,Tom has a cold now.,अभी टॉम को जुकाम है।
705,What floor am I on?,मैं किस मंज़िल पर हूँ?
706,Tom tried putting on the coat.,टॉम ने कोट पहन कर देखा।
707,The window was open.,खिड़की खुली थी।
708,The cage is open.,पिंजरा खुला है।
709,He betrays his king and country.,वह अपने राजा तथा देश के साथ गद्दारी करता है।
710,There are no options.,और कोई विकल्प नहीं हैं।
711,What should I order?,क्या मंगाऊँ?
712,This place is ours.,यह जगा हमारी है।
713,When did Tom find out?,टॉम को कब पता चला?
714,How did you find out?,तुम्हें कैसे पता चला?
715,The game is not over.,खेल खतम नहीं हुआ है।
716,It's not over.,खतम नहीं हुआ है।
717,I'm the owner.,मालिक मैं हूँ।
718,Tom loves to party.,टॉम को पार्टी करना पसंद है।
719,She was heard playing the violin.,वह विओलिन बजाती सुनाई दी.
720,It was a great plan.,बढ़िया योजना थी।
721,Tom was popular.,टॉम लोकप्रिय था।
722,Tom never was poor.,टॉम गरीब तो कभी था ही नहीं।
723,Tom was sent to prison.,टॉम को जेल भेज दिया गया।
724,"If you are to finish the work before June, you will have to work much better.",यदि आपने जून से पहले कार्य सम्पूर्ण करना है तो आपको अधिक अच्छा कार्य करना पड़ेगा.
725,Shut the door quickly.,जल्दी से दरवाजा बंद कर दीजिए।
726,Tom is very quiet.,टॉम बहुत शांत है।
727,He waved at her.,उसने उसकी तरफ हाथ फिराया.
728,Your room is ready.,आपका कमरा तैयार है।
729,Tom is very rich.,टॉम बहुत अमीर है।
730,It made me very rich.,इससे में बहुत अमीर बन गया।
731,Tom is quite rich.,टॉम काफी अमीर है।
732,Please tell me what I should do.,कृपया बताएं अब मुझे क्या करना चाहिए.
733,Tom wanted to be rich.,टॉम अमीर बनना चाहता था।
734,Tom used to be rich.,टॉम अमीर हुआ करता था।
735,"Yesterday I became a god, but found that a bit boring, so today I became a devil.","कल मैं देवता बना, लेकिन इसमें मुझे मज़ा नहीं आया। इसलिए आज मैं शैतान बन गया।"
736,Let me see your ring.,मुझे अपनी अँगूठी देखने दीजिए।
737,Tom rented a room.,टॉम ने एक कमरा किराये पर लिया।
738,The old lady smiled at her granddaughter.,बूढ़ी औरत अपनी पोती पर मुस्कुराई।
739,That old woman smiled at her granddaughter.,वह बूढ़ी औरत अपनी पोती पर मुस्कुराई।
740,He abandoned his hope of becoming a doctor.,उसने डॉक्टर बन ने की उम्मीद त्याग दी.
741,We have some new products we'd like you to see.,आपको कुछ नए प्रॉडक्ट्स दिखाना चाहते हैं।
742,"It is clear that the Americans can't even solve their own problems, so how can they possibly think themselves capable of dealing with the rest of the world's problems?","साफ़ है कि अमरीकी अपनी समस्याएँ भी सुलझा नहीं सकते हैं, तो फ़िर वे खुद को बाकी दुनिया की समस्याएँ सुलझाने के काबिल कैसे समझ सकते हैं?"
743,Is Tom still in school?,क्या टॉम अभी भी स्कूल में है?
744,What did Galileo see?,गैलीलियो ने क्या देखा?
745,Tom is very selfish.,टॉम बहुत स्वार्थी है।
746,"As a matter of fact, I dislike him.",दरअसल मुझे वह पसंद नहीं है।
747,Tom got home at seven.,टॉम सात बजे घर पहुँचा।
748,We heard it.,हमने सुना।
749,I can barely afford to buy enough food to feed my family.,अपने परिवार के लिए खाना खरीदना भी मेरे लिए मुश्किल है।
750,Tom isn't able to drive yet.,टॉम अभी गाड़ी नहीं चला सकता।
751,Maybe it will snow.,शायेद हिमपात होगा.
752,Tom never was skinny.,टॉम कभी पतला तो था ही नहीं।
753,Tom used to be skinny.,टॉम पतला हुआ करता था।
754,Everyone in my family gets up early.,मेरे परिवार में हर कोई जल्दी उठता है।
755,Tom is going to sleep.,टॉम सोने जा रहा है।
756,It seems Tom is very sleepy.,लगता है टॉम को बहुत नींद आई है।
757,I heard a noise.,मुझे कोई आवाज़ सुनाई दी।
758,He made up his mind to study abroad.,उसने विदेश में पढ़ने का निर्णय लिया।
759,"If you have a time, could you translate some sentences below, please?","अगर आपके पास थोड़ा समय हो, तो कृपया निम्न वाक्यों का अनुवाद करेंगे?"
760,"It was cold that day, and moreover it began to rain.","उस दिन ठंड थी, और ऊपर से बारिश होने लगी।"
761,I expect him to come.,मुझे लगता है वह आएगा।
762,I cannot dance one single step of Salsa.,मुझे साल्सा नाचना बिलकुल नहीं आता।
763,Why did Tom stop?,टॉम रुका क्यों?
764,It was a nice story.,अच्छी कहानी थी।
765,This is very strange.,यह बहुत अजीब है।
766,Tom is quite strong.,टॉम काफी शक्तिशाली है।
767,"Is it fine if I explain in English? Anyone who wouldn't be comfortable with English, please raise your hand.",अंग्रेज़ी में समझाया तो चलेगा क्या? जिन्हें अंग्रेज़ी से तकलीफ़ है वो हाथ उठाएँ।
768,That's a nice suit.,वह अच्छा सूट है।
769,It's the third biggest city of Serbia.,यह सर्बिया का तीसरा सबसे बड़ा शहर है.
770,They both are teachers.,दोनों अध्यापक हैं।
771,"In a word, I think he's a fool.","एक शब्द में कहूँ तो, मुझे लगता है वो बेवकूफ़ है।"
772,Why would I wear that?,मैं वह क्यों पहनूंगा?
773,I don't want to do this with you.,मैं तुम्हारे साथ ऐसा नहीं करना चाहती.
774,Do you ever do that?,वैसा कभी करते हो?
775,I have to go home already.,मुझे अभी घर जाना है.
776,Tom can't seem to do anything right.,टॉम कुछ भी सही ढंग से नहीं कर सकता.
777,This is my father's house.,मेरे पापा का घर है।
778,It is my father's house.,मेरे पिताजी का घर है।
779,What color are they?,वे कौनसे रंग के हैं?
780,Man can't live without dreams.,इनसान सपने देखे बिना जी नहीं सकता है।
781,I don't have enough time.,मेरे पास काफी वक़्त नहीं है।
782,Mary is a kindergarten teacher.,मेरी नर्सरी टीचर है।
783,"As a light goes out, so a man dies.","जैसे दीपक बुझता है, वैसे ही आदमी मरता है।"
784,Tom won't come today.,टॉम आज नहीं आयेगा।
785,Do you work with Tom?,क्या तुम टॉम के साथ काम करते हो?
786,Is your name Tom?,क्या आपका नाम टॉम है?
787,Is Tom your name?,क्या तुम्हारा नाम टॉम है?
788,We are working against an enemy who is very insidious in his methods.,हम एक ऐसे दुश्मन के विरुद्ध काम कर रहे हैं जो कपटपूर्ण विधियां अपनाने में प्रवीण है।
789,Did you murder Tom?,क्या आप ने टॉम का खून किया?
790,The decision is Tom's.,फैसला टॉम का है।
791,Tom is very ugly.,टॉम बहुत बदसूरत है।
792,Tom is quite ugly.,टॉम काफी बदसूरत है।
793,My family is wealthy.,मेरा परिवार धनी है।
794,It could be a weapon.,हत्यार हो सकता है।
795,Tom was winning.,टॉम जीत रहा था।
796,Tom isn't winning.,टॉम जीत नहीं रहा है।
797,Tom is probably wrong.,टॉम शायद गलत है।
798,Their answer is yes.,"उनका जवाब ""हाँ"" है।"
799,They seem to trust you.,लगता है वे तुम पर भरोसा करते हैं।
800,Would Tom lie to you?,टॉम तुम से झूठ क्यों बोलेगा?
801,Tom will wait for you.,टॉम तुम्हारा इंतजार करेगा।
802,What do they call you?,वे तुम्हें क्या कहते हैं?
803,Why did Tom call you?,टॉम ने तुम्हें क्या कहा?
804,Tom seems young.,टॉम जवान लगता है।
805,This chair is yours.,यह कुर्सी तुम्हारी है।
806,I can't go there.,मैं वहाँ नहीं जा सकता।
807,I can't do this now.,मैं यह अभी नहीं कर सकता।
808,I can't do this without you.,मैं यह तुम्हारे सिवा नहीं कर सकता।
809,Did you look under the car?,गाड़ी के नीचे देखा?
810,Did you see any pigeons?,कोई कबूतर दिखें?
811,Hide that book.,वह किताब छिपाओ।
812,It's so clean.,कितना साफ है।
813,Who's it for?,किस के लिये है?
814,Now it's here.,अभी यहाँ है।
815,I believe in it.,मुझे उसमें विश्वास है।
816,Bring the kids.,बच्चों को लाओ।
817,You can help me.,तुम मेरी मदद कर सकते हो।
818,We chose this one.,हमने यह वाला चुना।
819,I'm the surgeon.,सर्जन मैं हूँ।
820,I do mean that.,मेरा वहीं मतलब है।
821,"That's good, too.",वह भी अच्छा है।
822,"I can do it, too.",मैं भी कर सकता हूँ।
823,"Louie, your friends are coming.","लुई, तुम्हारे दोस्त आ रहे हैं।"
824,I will fight you.,मैं तुम से लड़ूंगा।
825,I'll marry you.,मैं तुम से शादी करूंगा।
826,It was getting dark.,अंधेरा हो रहा था.
827,You didn't even know me then.,तब तो तुम मुझे जानते भी नहीं थे।
828,"You do like music, don't you?","तुम्हें संगीत तो पसंद है, है ना?"
829,You don't even know who I am.,आप तो यह भी जानते कि मैं कौन हूँ।
830,"You're lying now, aren't you?","तुम अभी झूठ बोल रहे हो, है ना?"
831,You don't even know my name.,तुम तो मेरा नाम तक नहीं जानते।
832,You put in too much sugar.,तुम कुछ ज़्यादा ही शक्कर डालते हो।
833,I don't do stuff like that.,मैं वैसी चीजें नहीं करता।
834,I hear you're getting married again.,सुना है तुम फिर से शादी कर रहे हो।
835,You helped me.,तुमने मेरी मदद की।
836,You should've called the cops.,पुलिस को बुलाना चाहिए था।
837,The keys are on the table.,चाबियाँ मेज़ पर हैं।
838,You should have called the cops.,आपको पुलिस को बुलाना चाहिए था।
839,You weren't even there yesterday.,तुम तो वहाँ कल थे भी नहीं।
840,You don't seem tired at all.,तुम तो बिलकुल भी थके हुए नहीं लगते हो।
841,You don't seem afraid at all.,तुम बिलकुल भी डरे हुए नहीं लगते हो।
842,"Look around you, Tom.","आसपास देखो, टॉम।"
843,That game was fun.,उस खेल में बहुत मज़ा आया।
844,This room is very large.,यह कमरा बहुत बड़ा है।
845,"Hey, where's Tom?","अरे, टॉम कहाँ है?"
846,How does Tom do this?,टॉम यह कैसे करता है?
847,Does Tom like swimming?,क्या टॉम को तैरना पसंद है?
848,What'll Tom do now?,अब टॉम क्या करेगा?
849,Why can't Tom do it?,टॉम क्यों नहीं कर सकता?
850,What room is Tom in?,टॉम किस कमरे में है?
851,It's still hot.,अभी भी बहुत गरम है।
852,What's all this?,यह सब क्या है?
853,What's up there?,वहाँ उपर क्या है?
854,Tom broke a glass.,टॉम ने एक काँच तोड़ी।
855,What's the price of this?,इसका दाम क्या है?
856,Add the rice and cook gently until the grains begin to turn translucent.,चावल डालें और धीरे-धीरे उस समय तक पकाएं जब तक कि दानें पारभासी (स्वच्छ) न हो जाएं।
857,Tom likes running.,टॉम को भागना पसंद है।
858,Tom saw somebody.,टॉम ने किसी को देखा।
859,You aren't even trying.,तुम तो कोशिश भी नहीं कर रहे।
860,"In the play, the actor suddenly transmogrified into a monster.",नाटक में कलाकार अचानक से दैत्य में परिवर्तित हो गया।
861,You have a lot to learn.,तुम्हें अभी बहुत कुछ सीखना है।
862,You and I aren't like that.,तुम और मैं वैसे नहीं हैं।
863,You shouldn't even be here.,तुम्हें तो यहाँ होना भी नहीं चाहिए।
864,We simply didn't expect to see such filth on the family shopping site.,हमने पारिवारिक शापिंग साइट पर इस प्रकार की अश्लीलता देखने की कभी कल्पना नहीं की थी।
865,"The most commonly reported flu symptoms are fever, chills, sweating, astheania, headache and nausea.","फ्लू के सर्वाधिक सामान्य लक्षणों में ज्वर, ठंड लगना, पसीना, शक्तिहीनता, सिरदर्द और मतली शामिल हैं।"
866,Are they live?,क्या वे ज़िंदा हैं?
867,That's my book.,वह मेरी किताब है।
868,Why did you let him go?,तुमने उसे जाने क्यों दिया?
869,Why did you let her go?,आपने उसे जाने क्यों दिया?
870,Why did you let them go?,तुमने उन्हें जाने क्यों दिया?
871,Why did you let me go?,तुमने मुझे जाने क्यों दिया?
872,I have back problems.,मुझे पीठ की तकलीफ है I
873,Why did you let us go?,तुमने हमें जाने क्यों दिया?
874,What is art?,कला क्या होती है?
875,He lives in Osaka.,वह ओसाका में रहता है।
876,You've got a lot of enemies.,तुम्हारे बहुत सारे दुशमन हैं।
877,I like English.,मुझे अंग्रेज़ी पसंद है।
878,You need this more than I do.,मुझ से ज़्यादा तुम्हें इसकी ज़रूरत है।
879,We all felt sorry for Tom.,हम सब टॉम के लिए दुःखी थे।
880,You really do look beautiful.,तुम तो सच-मुच सुंदर लगते हो।
881,You should've studied harder.,तुम्हें और मेहनत से पढ़ाई करनी चाहिए थी।
882,You should have studied harder.,आपको और मेहनत से पढ़ाई करनी चाहिए थी।
883,You've got three months left.,तुम्हारे पास तीन महीने बचे हैं।
884,You've had too much to drink.,तुम ने कुछ ज़्यादा ही पी ली है।
885,You said you wouldn't do that.,तुम ने कहा था तुम वैसा नहीं करोगे।
886,I have some stuff to do at home.,मुझे घर में थोड़ा काम करना है I
887,Millie is eating a banana.,मिली एक केला खा रही है।
888,It was sort of fun.,वो मजेदार था I
889,I'm not worried about that.,मुझे उसकी चिंता नहीं है।
890,I've done the wrong thing.,मैंने गलत चीज़ की है।
891,I've done the right thing.,मैंने सही चीज़ की है।
892,I wasn't making fun of Tom.,मैं टॉम का मज़ाक नहीं उड़ा रहा था।
893,It's no use crying over spilt milk.,अब पछताए क्या होत जब चिड़िया चुग गई खेत।
894,"When in Rome, do as the Romans do.","जैसा देस, वैसा भेस।"
895,You reap what you sow.,जैसा करोगे वैसा भरोगे।
896,What is the meaning of this word?,इस अल्फाज का मतलब क्या है?
897,Tom is in my room.,टॉम मेरे कमरे में है।
898,I've read the first page.,मैंने पहला पृष्ठ पढ़ा लिया I
899,Who's the next candidate?,अगला उम्मीदवार कौन है?
900,Our main office is in Osaka.,हमारा मुख्य कार्यालय ओसाका में है।
901,Like us on Facebook!,फ़ेसबुक पर हमें लाइक करें!
902,When did he return from Osaka?,वह ओसाका से कब लौटा?
903,I was going to do it yesterday.,मैं वह कल करने वाला था।
904,I'm a little crazy.,मैं थोड़ा पागल हूँ।
905,What's a jungle?,जंगल क्या होता है I
906,I should've gone with you.,मुझे तुम्हारे साथ जाना चाहिए था।
907,What are you doing here now?,अब तुम यहाँ क्या कर रहे हो?
908,Tom was shot in the leg.,टॉम को पैर में गोली लगी।
909,The scientists are working on a new experiment.,वैज्ञानिक नए प्रयोग पर काम कर रहे है I
910,It's a big hospital.,बड़ा अस्पताल है।
911,Tom was swimming with us yesterday.,टॉम कल हमारे साथ तैर रहा था।
912,Establish contact with me tomorrow.,मुझसे कल संपर्क स्थापित करना।
913,This is big news.,यह बड़ी ख़बर है।
914,It was a big night.,बड़ी रात थी।
915,It's a big room.,बड़ा कमरा है।
916,I'm an animal.,मैं एक जानवर हूँ I
917,How big was your school?,तुम्हारी स्कूल कितनी बड़ी थी?
918,It's a big world.,बड़ी दुनिया है।
919,Everyone felt sorry for Tom.,सब टॉम के लिए दुःखी थे I
920,Tom doesn't eat meat.,टॉम गोश्त नहीं खाता है।
921,I was born in China.,मैं चीन में पैदा हुआ था।
922,Khalid has a variety of pens.,ख़ालिद के पास तरह-तरह के कलम है।
923,"English is studied in China, too.",चीन में भी अंग्रेज़ी सीखी जाती है।
924,"I don't know how, but she did it.",पता नहीं कैसे पर उसने कर दिया।
925,The Swiss keyboard doesn't have a ß.,स्वीस कीबोर्ड पर ß नहीं होता।
926,It's my birthday.,मेरा जन्मदिन है।
927,"It is better to live rich, than to die rich.",अमीर हो कर मरने से बेहतर है अमीर हो कर जीना।
928,You play Starcraft really well.,तुम स्टारक्राफ़्ट बड़ी अच्छी तरह से खेलते हो।
929,Tom doesn't like dogs.,टॉम को कुत्ते पसंद नहीं।
930,I can't help.,मैं मदद नहीं कर सकता।
931,The ship leaves for Honolulu tomorrow.,वह जहाज़ कल होनोलूलू के लिए रवाना होगा।
932,I don't know what he knows.,मुझे नहीं पता कि उसे क्या पता है।
933,I found this test difficult.,मैंने इस परीक्षण को मुश्किल पाया।
934,India is in Asia.,भारत एशिया में है।
935,India is a developing country.,भारत एक विकासशील देश है।
936,How many states does India have?,भारत में कितने राज्य हैं?
937,I am going back to India.,मैं भारत लौट रहा हूँ।
938,Rajinikanth is a superstar in India.,रजनीकान्त भारत में सुपरस्टार है।
939,I want to go to India.,मैं भारत जाना चाहता हूँ।
940,It looks like you are from India.,लगता है आप भारत से हैं।
941,"He's English, but lives in India.","वह अंग्रेज़ है, मगर भारत में रहता है।"
942,India is the third largest country in Asia.,एशिया में तीसरा सबसे बड़ा देश भारत है।
943,I solved this problem with difficulty.,मैने यह समस्या कठिनाई से सुलझाई।
944,Should Hindi be taught in schools across India?,क्या हिन्दी भारत भर की पाठशालाओं में सिखाई जानी चाहिए?
945,Do you speak Marathi?,मराठी बोलते हो?
946,We can't leave Tom here.,हम टॉम को यहाँ नहीं छोड़ सकते।
947,We were there last night.,हम कल रात वहाँ थे।
948,We can help Tom now.,अभी हम टॉम की मदद कर सकते हैं।
949,We live together now.,अभी हम एक साथ रहते हैं।
950,The aircraft has landed at the airport.,वायुयान हवाई अड्डे पर उतर गया है।
951,We threw Tom out.,हमने टॉम को बाहर फेंक दिया।
952,We can order a pizza.,हम पिज़ा मंगा सकते हैं।
953,We think you're right.,हमें लगता है तुम सही हो।
954,We were just studying.,हम बस पढ़ाई कर रहे थे।
955,Nobody here eats meat.,यहाँ कोई गोश्त नहीं खाता है।
956,People are getting down.,लोग उतर रहे हैं।
957,We shouldn't do this.,हमें ऐसा नहीं करना चाहिए।
958,What a clever dog!,क्या होशियार कुत्ता है!
959,I need new glasses.,मुझे नया चश्मा चाहिए।
960,Will you teach me French?,क्या तुम मुझे फ़्रांसीसी सिखाओगे?
961,Don't forget the ticket.,टिकट भूलना मत।
962,Just give the order.,बस हुक्म दीजिए।
963,Tom doesn't know that.,टॉम को वह पता नहीं है।
964,Don't break anything.,कुछ तोड़ना मत।
965,Come on in.,अंदर आओ।
966,Why can't you tell me?,तुम मुझे क्यों नहीं बता सकते?
967,Forget what I said.,मैंने जो कहा वह भूल जाओ।
968,He has gone out.,वह बाहर गये है।
969,They're both older than you.,वे दोनों तुमसे उम्र में बड़े हैं।
970,Tom is a poet.,टॉम कवी है।
971,I am going to go to America next year.,अगले साल मैं अमरीका जाने वाला हूँ।
972,It was a beautiful speech.,सुंदर भाषण था।
973,Is she going to go to America this year?,क्या वह इस साल अमरीका जाने वाली है?
974,I do a lot of things.,मैं बहुत सारे चीज़ें करता हूँ।
975,Where does he live in Germany?,जर्मनी में वह कहाँ रहता है?
976,Tom is a communist.,टॉम साम्यवादी है।
977,"Tom is married, has three kids, and lives in Boston.","टॉम शादीशुदा है, उसके तीन बच्चे हैं और वह बोस्टन में रहता है।"
978,What does he want in return?,उसे बदले में क्या चाहिए?
979,Sing with us.,हमारे साथ गाओ।
980,That's a pretty good question.,यह काफ़ी अच्छा सवाल है।
981,I have a headache.,मेरे सिर में दर्द हो रहा है।
982,I'm going to help you.,मैं तुम्हारी मदद करने वाला हूँ।
983,I told Tom my story.,मैंने टॉम को मेरी कहानी बताई।
984,Who wants to go?,कौन जाना चाहता है?
985,Tom shot a gun.,टॉम ने एक बंदूक चलाई।
986,Can you hear anything?,कुछ सुनाई दे रहा है?
987,You should've told me that yesterday.,तुम ने मुझे वह कल बताना चाहिए था।
988,Next year I'm going to Hawaii.,अगले साल मैं हवाई जा रहा हूँ।
989,"""My mother's American, and my father is Uighur."" ""Really?"" ""No! I was joking!""","""मेरी माँ अमरीकी है और पिता उइघुर।"" ""सच?"" ""नहीं! मैं बस मज़ाक कर रहा था।"""
990,What kind of bird is this?,यह किस तरह की पंछी है?
991,I reached the station at six.,मैं छः बजे स्टेशन पहुँचा।
992,"First we'll eat, and then we'll go.","पहले खाएंगे, फिर जाएंगे।"
993,Tom told her.,टॉम ने उसे बताया।
994,It makes no difference.,कोई फरक नहीं पड़ता।
995,"Mr. President, my name is Khan and I am not a terrorist.","राष्ट्रपति जी, मेरा नाम खान है, और मैं आतंकवादी नहीं हूँ।"
996,Read it again.,इसे दोबारा पढ़ें।
997,These are very old books.,ये किताबें काफ़ी पुरानी हैं।
998,There's a rich man sleeping on a golden bed.,एक अमीर आदमी सुनहरे बिस्तर पर सो रहा है।
999,I can't remember.,मुझे याद नहीं।
1000,"As he had no way of making fire, he ate the fish raw.","वह आग जला नहीं सकता था, इसलिए उसने मछली को कच्चा खाया।"
